500.0,4.0,1.8,15.6,349.99
250.0,4.0,2.0,13.3,80.0
80.0,4.0,1.66,,144.0
160.0,1.0,1.6,10.0,31.0
80.0,4.0,1.8,,129.95
80.0,4.0,1.66,,144.0
80.0,4.0,,,136.96
500.0,4.0,1.7,15.6,255.0
,,,11.6,60.0
,,,,100.0
80.0,2.0,1.86,14.1,118.08
80.0,4.0,,,136.96
1024.0,12.0,1.7,15.6,529.99
160.0,1.0,1.6,10.0,31.0
1024.0,4.0,2.0,15.6,249.99
80.0,4.0,1.8,,129.95
500.0,4.0,2.53,15.6,102.5
,,,11.6,60.0
1024.0,8.0,2.0,15.6,469.99
,,,,
,,,10.6,40.0
1024.0,4.0,2.0,15.6,249.99
500.0,4.0,2.53,15.6,102.5
,,,,100.0
,,,,
160.0,4.0,,14.1,150.0
